"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"result.1",0.943966694148089,-0.144604540305295,1.80431315519849,0.505425544336375,0.654254800290829,0.264490656503733,0.0265737938173703,0.375414915877369,0.391652171093902,0.486404990776559,-0.10773124225066,-0.0392851404261954,0.0274342099052078,0.215752199150907,-0.0944890236403455,0.18188585263822,-0.333091982528434,-0.175514895244701,0.158333327024862,0.773680235093622,-0.00205366012204175,0.124353799657868,-0.203662394693329,0.022534991971995,0.543305376846146,0.253790891989012,0.989458569835536,0.928802688137158,0.686971576668751,0.0994012337494557,0.255539715640535,0.0530827859143549,0.233525128893422,-0.210625241651789,0.0101712646679928,-0.448551754666872,0.503382556566203,-0.34621411278534,0.265607836679768,0.315481639976075,0.600448348992694,0.44718010067935,0.139883763912935,0.179889439795684,-0.0558444194764502,0.0971672926472725,0.242203473758205,0.489111169680513,0.739170619000053,0.588915255861222,0.688416386573461,0.487635367550239,0.199569904426127,0.733800863261832,0.538081303963981,0.280807221359659
"result.2",0.982166690233584,-0.186825999814985,1.8358329713139,0.320851692042686,0.55480654192888,0.215885181207636,0.0143603942428004,0.3239310160439,0.397206070359155,0.296795616203503,0.00417868948716492,0.057545649515942,0.0844511476395485,0.412244191654423,-0.00774865996049882,0.177643181910765,-0.111744776973202,-0.273423832775855,0.243908222566323,0.805698983833983,-0.214013221427021,0.19299661262608,0.0884931602930967,-0.0203658074305202,0.600226709415944,0.219555928210007,1.05031789010504,1.02724681979778,0.754525442088358,0.093305063320555,0.0946753274496396,0.207711967499515,0.220199206826723,-0.109603110759055,-0.0587158147916214,-0.290407847944529,0.430186846093187,-0.339780970982929,0.213943414353247,0.159059625407033,0.454026089083526,0.283451480768455,0.0621033129138711,0.280721921693311,-0.0753099921603639,0.105444369247908,0.108039742887991,0.254480870502331,0.777975937769127,0.615813091130912,0.748329381463566,0.522661809153346,0.312637497140276,0.597024348577945,0.438163576121855,0.255913250957432
"result.3",0.665486372015544,-0.0639800798704103,1.32843674403469,0.18523866838934,0.587644530948431,0.257050048821445,-0.0242478156475163,0.225971127990803,0.394482777462822,0.282220141422327,-0.0475724340473941,-0.0310389746165061,0.0679949836941647,0.386478803463363,-0.0124582653515461,0.132158033897748,-0.242655578788738,-0.201245850452616,0.23993128709104,1.04438160352263,-0.287313727002756,0.299887307458384,-0.0428606820291339,-0.00608527318064526,0.530444486350205,0.262003649123859,0.96563993251202,0.957407976766081,0.69303166519576,0.139505909897424,0.17117828150154,0.110140508533437,0.318366486833909,-0.245027656778996,0.0561138583902851,-0.475900412784556,0.470710715078302,-0.402559414706869,0.222677729094085,0.326144204339715,0.632394432207617,0.455594344957469,0.0874794769005185,0.25908467479602,-0.075400309637509,0.142334518632223,0.216712800608832,0.415264582246344,0.960648806540463,0.609965207444452,0.852563306422067,0.827895938576182,0.386402626318225,0.836830929595402,0.480442606013572,0.338528567600402
"result.4",0.842192705327478,-0.119446742537404,1.53453668480451,0.287636354864189,0.56720471995759,0.194717124573568,0.0539457992658739,0.21474563994645,0.367972026784534,0.535135240136443,-0.141188023403216,0.0550640016640342,0.0149876006364416,0.220461976224925,0.164515511902361,0.0104957703611516,-0.194746578182135,-0.315098831728181,0.212062291465239,0.840122160536208,-0.18032226463455,0.219676407626829,-0.077997675608933,-0.00768717517489593,0.650216835285628,0.22767887217367,0.953287820609774,0.939752540981961,0.725435119903142,0.0717621028784729,0.195001530559436,0.057852942133587,0.327881188727574,-0.151343266050107,0.0726959135431145,-0.321281477745624,0.534482852068969,-0.232507557685615,0.186106772330223,0.240806216035702,0.429506261648898,0.280542400391922,0.0734256174151351,0.0804125275560455,-0.0717438879394447,0.0682889820174304,0.199212953365228,0.375532700652292,0.705110151752763,0.730459031776331,0.574141097569468,0.572126124398898,0.158650476130073,0.513911988812014,0.582464515585032,0.478917479861993
"result.5",1.80454537242787,0.0213991928854764,2.44198309008286,0.317784499021054,0.602740981228676,0.187547982242056,-0.00590161324195837,0.206903634068343,0.483428950798311,0.293409211997988,-0.0389579828854246,0.027449134614583,-0.0624159076208979,0.292644046140685,0.0687682547109384,0.0415434768811671,-0.236635462797679,-0.275017000745872,0.301514711120575,0.521850533300468,-0.084533578791974,0.212564270655787,-0.0940730166802959,0.10485599435818,0.377479321103542,0.218945368413209,0.97870291988281,1.01955928423391,0.837727474409484,0.0964425785166939,0.114032537245517,0.197719815831398,0.267362804313991,-0.230194214899579,0.100541629868462,-0.334288855137901,0.443392644134849,-0.0843564766173962,0.236711841815738,0.233793017200714,0.834552677195098,0.61632452554008,0.0947438649064579,0.250397859113194,-0.0373805249399987,0.0918811437887196,0.147714457806651,0.303723061375508,0.522827998960628,0.503643553050697,0.556086202154794,0.446302355667976,0.267739124132104,0.593651190884711,0.532552843624946,0.332064229913926
"result.6",0.825372348260185,-0.0278448505354497,1.55012199205723,0.339232647398059,0.589130903396831,0.235808421259307,0.0328764039639609,0.30431090495217,0.360604240012027,0.423517310160952,0.0144176593241397,0.0401632025186452,0.05404744594027,0.312779205119646,-0.1832752526712,-0.0868612297949645,-0.374305459510245,-0.207711141099386,0.143277009047478,0.955966306051886,0.0643499989809904,-0.120102855808669,-0.261734928533758,0.0344742678967084,0.532959767983392,0.231424966222366,0.954552682541201,0.951616211847254,0.71544631733647,0.0781285432372365,0.185396715359956,0.101708253228634,0.369770252124857,-0.242849380200109,0.00345701844540659,-0.251102283135039,0.537092213511907,-0.42871509499292,0.167520800620767,0.250181286537016,0.657644623592381,0.54041005008418,0.0731520863940054,0.325760132337067,-0.0581774362336304,0.0985397210469253,0.190087756121014,0.369551306955426,0.857578985168592,0.475218099050908,0.851070409935343,0.610136695228778,0.29257015617481,0.732306820287292,0.389980639344053,0.278608083328306
"result.7",1.37270886459939,-0.103870133887055,1.97290831963444,0.127085922478321,0.612274004417764,0.225680702362823,-0.136926277253716,0.26443865214594,0.409959182427092,0.440301067387776,-0.0816912459883253,0.0314153817578061,0.0960367564107339,0.1549634111344,0.188555812731594,-0.213285355054998,-0.105803659168053,-0.192963444587793,0.395888841705267,0.594927537297949,0.00745262060381037,0.231398210676444,-0.148732387283369,0.0421114963861714,0.3219236103158,0.210176294205825,1.00412197323177,1.00431209375198,0.798752952693196,0.0646226202414296,0.106973685302239,-0.0578749768135064,0.177554846430713,-0.140596526109491,0.109521175459208,0.0600347358610865,0.315815777919038,-0.310331921441958,0.193794123029378,0.2370089674161,0.542149176566291,0.348580105798997,0.0608635717035057,0.336761779449255,-0.0676674021404792,0.0697660766337309,0.0754964739838119,0.285425383753068,0.480762406662705,0.46155297574512,0.579225301350368,0.561625092768421,0.195874421899867,0.854821676058611,0.531129460534877,0.291276605538065
"result.8",0.857885115640673,-0.139025941247274,1.50352129583421,0.315963818349526,0.480026722236064,0.164271092335769,-0.147875970864197,0.143428481101861,0.401394022580207,0.450396758274877,-0.00543415515606654,0.030307880182648,0.0499718328603216,0.205006686186349,0.0147821396071257,0.0769059874476852,-0.0693996837561056,-0.301586825164183,0.290171762940479,0.795073555215581,-0.072884655857555,-0.328217320567758,-0.165885524817161,-0.0043288852072,0.550893835317161,0.215668503695387,0.995837169686586,0.959912977021824,0.768467131977544,0.0981767826554432,0.240839338471309,-0.0387233660528141,0.482265790461446,-0.0805000623558487,0.215577764594026,-0.359259529809623,0.644586230213829,-0.402099460315815,0.222747692119472,0.281315695535229,0.988567096544492,0.886364528118628,0.105742709645512,0.251193906596325,-0.037476295256137,0.108431317780138,0.280288763109537,0.428668389751748,0.748416155427936,0.684270851743461,0.977903508953021,0.718389482614594,0.291324478412727,0.605224310673838,0.460369246893573,0.410539321739055
"result.9",1.69575175877329,-0.174205682010742,2.60340253916019,0.520610952524217,0.40322835300928,0.18765473038664,-0.110013492061667,0.255394711007604,0.39868954796688,0.524924519853807,-0.0485437459855225,-0.0149897357444888,0.0244380096948947,0.028432951144012,-0.0054169208569689,0.183309469723042,-0.35501167325768,-0.241247234150503,0.208229578947059,0.728926697105483,-0.0652240946897504,0.309565979121367,-0.148188932809548,0.0238635371432234,0.616418930308735,0.20814035524335,1.04888854879969,0.919231704969667,0.731785065915627,0.0795623317165226,0.179852078697314,-0.0305743901809418,0.250811254388256,-0.109630279878721,-0.0401313451325027,-0.540949754474145,0.489429729557571,-0.466743503343115,0.229990720507581,0.214922628470026,0.633209100753439,0.467543481505394,0.0742051309961976,0.193359244780501,-0.0800365822641839,0.0785745888063067,0.157232051909416,0.380809548514003,0.747351689496951,0.529138239528849,0.666800459411383,0.559453452533053,0.2276712596061,0.503148788236759,0.53452124590452,0.299145820793054
"result.10",0.222988640055595,-0.0255535992224707,0.698036360851573,0.113936990426423,0.460312959422254,0.391978121597752,0.0925701372941911,0.24963083338147,0.450323453915339,0.470548698377149,-0.0576736789870431,-0.00428122999999114,-0.0183023760300202,0.389418833376117,0.0850293053193287,-0.164672706625387,-0.424821410113461,-0.418183619214462,0.266875071349819,0.573635112197234,-0.0239277431672212,0.202660317290086,-0.04679764251487,0.0451866910359441,0.387538014938306,0.201102371132262,0.975309983633639,0.840410449033312,0.68222677111901,0.063436960863522,0.235131669580651,0.108853267716517,0.109756858667481,-0.168366994924925,0.110105004018963,-0.560323946342367,0.531795932629682,-0.302776494869754,0.246833921142305,0.406412635953006,0.682435981879913,0.651377784924109,0.161486351016169,0.0803683045838543,-0.0364508530292186,0.068349632906111,0.248537327088558,0.391649583973193,0.536569103547481,0.758080838305327,0.630588024202447,0.546320327151432,0.296996043630192,0.494411165244281,0.449800110769854,0.321735964314374
